gene,p_val,avg_log2FC,padj
AC093567.1,0.0067002364987971,-1.73929787334072,0.125023983910631
AC005064.1,8.76545985759558E-05,-1.72048589532175,0.0193554512366816
AC073896.3,1.78377907180313E-05,-1.71741087069843,0.0100354295717724
AC006378.1,0.0006664237555212,-1.71384138724194,0.0455847443268649
AC010307.2,0.0042103457093013,-1.69548596513765,NA
NEURL1-AS1,2.6647714987775E-06,-1.69226689248697,0.0041688348968348
AC005697.2,0.0003790186380255,-1.68846463848473,0.0348286902717749
AL133395.1,0.000289287698592,-1.64796761373595,0.031185906812892
AC096741.1,0.0183185782595202,-1.64255245013941,0.199872342064328
NHS-AS1,0.004546091682113,-1.63772045967613,0.104927293016771
AC011990.1,0.0001385189572413,-1.63722944430037,0.0252128993533604
NCKAP5-AS1,0.0003027084589109,-1.63706192685772,0.0320568257986675
AL807761.4,0.0037618080433106,-1.62061443037037,0.0974403952999442
AC004974.1,0.0038119213272338,-1.61922302635262,0.0978402805070943
ACAP1,7.21611760859974E-05,-1.61677035898229,0.0174637394223874
EPN2-AS1,7.27534553507223E-05,-1.60372971873412,0.0174637394223874
AC025031.1,0.0006248233683299,-1.5917913594862,0.0443635204196414
RRS1-AS1,0.002743003190211,-1.5866577887836,NA
RGL4,0.0006143176412996,-1.5799885221073,0.0442053135546763
AC138360.1,0.0056318761899459,-1.57965040053565,0.115085887681722
AC125437.3,0.0007830529788043,-1.57821181368761,0.0497782120533959
AC009365.4,0.0021120353688827,-1.56606700688691,0.0774398630264673
AP000248.1,0.000547460051383,-1.5515954974866,0.0420156690080747
IL5,0.0008095008656862,-1.5513385829374,0.0502532554653425
AL118556.1,0.005785266955011,-1.54681583063459,0.116241251106098
ERCC6L,0.0020206002853716,-1.54399650027092,0.0762623555686692
EHMT2-AS1,3.35685987495947E-05,-1.54350784459456,0.0125856578725258
HNF1A-AS1,0.0004485519927413,-1.54250595119043,0.0384537215491536
AC073648.7,3.3993096976738E-05,-1.53532924421417,0.0125856578725258
VWF,0.0008668618518723,-1.53274071197728,0.0518475545490279
AL109955.1,0.0017255027650138,-1.53070970670521,0.0717418620751582
AC015845.1,0.007877515740947,-1.53048325572176,NA
AC005414.1,0.0009625411878159,-1.5291925837652,0.054321721016459
AL356010.2,0.0073259157797553,-1.5271587742992,0.130195914889373
AC006019.1,0.0060541202593762,-1.52434712468891,0.118460493195591
AC012613.1,0.006552159335859,-1.51901861412361,0.124428823336994
AL031768.2,0.0001556646680919,-1.51807269305858,0.0259174318873759
